feature,coef,original_feat,feature_v2,original_feat_v2,feat_type
Foundation_BrkTil,-0.0429854340548414,Foundation,Foundation_BrkTil,Foundation,nominal
Foundation_CBlock,-0.0134927266472075,Foundation,Foundation_CBlock,Foundation,nominal
Foundation_PConc,0.0,Foundation,Foundation_PConc,Foundation,nominal
Foundation_Slab,0.0016009385347294,Foundation,Foundation_Slab,Foundation,nominal
Foundation_other,0.0,Foundation,Foundation_other,Foundation,nominal
Heating_GasA,0.0,Heating,Heating_GasA,Heating,nominal
Heating_GasW,0.0217791134897531,Heating,Heating_GasW,Heating,nominal
Heating_other,-0.0152581521726686,Heating,Heating_other,Heating,nominal
GarageType_Attchd,-0.0,GarageType,GarageType_Attchd,GarageType,nominal
GarageType_Basment,-0.0177557538601124,GarageType,GarageType_Basment,GarageType,nominal
GarageType_BuiltIn,0.0032004872098247,GarageType,GarageType_BuiltIn,GarageType,nominal
GarageType_Detchd,0.0086858564820768,GarageType,GarageType_Detchd,GarageType,nominal
GarageType_No Garage,0.0239503237885623,GarageType,GarageType_No Garage,GarageType,nominal
GarageType_other,-0.0704274776140967,GarageType,GarageType_other,GarageType,nominal
MiscFeature_None,0.0,MiscFeature,MiscFeature_None,MiscFeature,nominal
MiscFeature_Shed,0.0,MiscFeature,MiscFeature_Shed,MiscFeature,nominal
MiscFeature_other,-0.0,MiscFeature,MiscFeature_other,MiscFeature,nominal
SaleType_COD,-0.0005612166007993,SaleType,SaleType_COD,SaleType,nominal
SaleType_New,0.0132896650575233,SaleType,SaleType_New,SaleType,nominal
SaleType_WD,-0.0242667664635994,SaleType,SaleType_WD,SaleType,nominal
SaleType_other,0.0275180184275279,SaleType,SaleType_other,SaleType,nominal
SaleCondition_Abnorml,-0.0755289596038544,SaleCondition,SaleCondition_Abnorml,SaleCondition,nominal
SaleCondition_Family,-0.062084872624145,SaleCondition,SaleCondition_Family,SaleCondition,nominal
SaleCondition_Normal,0.0,SaleCondition,SaleCondition_Normal,SaleCondition,nominal
SaleCondition_Partial,0.0172147807086624,SaleCondition,SaleCondition_Partial,SaleCondition,nominal
SaleCondition_other,0.0,SaleCondition,SaleCondition_other,SaleCondition,nominal
